Methane (ppb),Moisture,Temperature,Humidity,R2611E,R2600,R2602,R2611C,RMQ4
2100.70715,20582.543,26.67,55.95,54814.25432,24372.15496,26464.10945,34547.75207,73333.33333
2099.28955,20957.33,26.85,56.7,54520.25957,23995.55837,25708.12621,34074.70889,71967.21311
2097.97055,21332.3525,26.97,57.45,54454.56321,23600.35966,25063.29829,33589.09046,70645.16129
2096.8483,21747.0935,27.1,58.15,54487.39981,23192.48082,24423.57539,33106.72725,69365.07937
2095.693,22167.418,27.25,58.85,54258.26949,22809.66571,23906.33089,32655.0162,69365.07937
2094.66895,22585.131,27.385,59.35,53985.45562,22458.0489,23392.98236,32226.76955,68125
2093.97155,22897.066,27.485,57.7,53895.03085,22508.05241,23240.4059,32443.36665,69365.07937
2094.16015,22406.6925,27.615,56.45,53734.19449,23179.42224,23713.10204,33011.51926,70645.16129
2094.11155,22129.907,27.73,56.35,53759.87406,23530.05452,23897.25254,33106.71664,70645.16129
2093.7871,22177.761,27.83,56.7,53740.61123,23587.88015,23795.90237,32947.32013,69365.07937
2093.2815,22409.5725,27.955,57.15,53612.49788,23462.69795,23517.63093,32665.08056,68745.03968
2092.7184,22717.875,28.04,57.45,53395.88374,23250.88336,23240.4059,32338.32756,68125
2092.502,22913.3985,28.145,56.6,53136.62572,23382.40047,23231.6806,32526.05952,68125
2093.1239,22747.845,28.25,56.1,53111.44562,23519.40157,23254.37658,32599.03754,69365.07937
2093.88575,22597.0165,28.35,54.7,52842.02145,23955.44032,23543.38147,33017.36867,70645.16129
2095.12475,22107.8035,28.46,53.7,53240.70592,24503.30993,24066.92843,33454.4381,70645.16129
2096.151,21770.4055,28.53,53.05,53516.748,24908.60086,24476.98651,33769.93584,71967.21311
2096.7816,21529.47,28.625,52.5,53625.28787,25223.29184,24753.35318,33998.11726,71967.21311
2096.90405,21352.6875,28.67,52.1,53833.81659,25486.91789,24977.08066,34174.67157,71967.21311
2097.05325,21195.6355,28.73,51.75,54082.62117,25736.34758,25246.82671,34349.54382,71967.21311
2097.33695,21066.7555,28.8,51.45,54261.52971,25922.93557,25537.72513,34488.25069,71967.21311
2097.4763,20959.7955,28.85,51.25,54461.12583,26084.71533,25665.8746,34608.96071,71967.21311
2097.59665,20871.2265,28.89,50.95,54830.84803,26220.99562,25880.17336,34741.39025,73333.33333
2097.66235,20772.097,28.96,50.7,55007.28915,26340.56979,26015.93452,34849.1724,73333.33333
2097.73255,20678.639,28.99,50.45,55097.54262,26475.63741,26181.6574,34983.03392,73333.33333
2097.8718,20585.7025,29.065,50.2,55552.60252,26578.92323,26349.95795,35093.59315,74039.54802
2097.97715,20499.709,29.08,50,55869.80036,26712.58032,26549.35326,35259.64409,74745.76271
2098.05735,20411.507,29.095,49.8,56255.90666,26810.78792,26791.53361,35438.33385,74745.76271
2098.32825,20337.981,29.12,49.55,56748.47676,26860.09225,27006.6296,35592.15665,74745.76271
2098.6781,20246.4305,29.145,49.35,57077.3752,26896.61603,27154.33647,35727.19393,74745.76271
2098.98635,20175.916,29.165,49.15,57567.84717,26978.5256,27534.38544,35981.30444,75476.32963
2099.48595,20095.7845,29.225,49.05,58315.30685,26989.32917,27757.15358,36167.43409,76206.89655
2099.7644,20035.709,29.235,48.85,59363.36193,27073.82008,28314.80428,36527.14563,76206.89655
2100.137,19983.406,29.245,48.65,67705.59705,28773.82158,32515.15299,40101.16747,77719.29825
2100.8596,19937.7675,29.26,48.55,70958.46016,27200.19055,34022.59705,40318.21807,79285.71429
2101.86535,19906.715,29.3,48.55,69028.14432,24797.33331,33337.04764,38509.83722,80909.09091
2102.78955,19875.672,29.295,48.5,70372.52283,25994.42805,33812.35091,39666.7689,84339.62264
2103.32005,19866.664,29.32,48.4,73094.63682,25611.69694,35159.54192,40274.25591,84339.62264
2104.05945,19835.4855,29.35,48.3,76148.34398,25689.04277,36623.10599,41026.62956,84339.62264
2104.71315,19796.5455,29.35,48.25,69414.58614,22989.2107,33712.50471,37426.54986,84339.62264
2104.8346,19789.1745,29.375,48.35,56034.72208,24377.74601,26746.68084,34433.60111,84339.62264
2103.4718,19913.073,29.4,48.6,56328.85541,26323.95586,26922.45223,35384.60319,79285.71429
2102.46045,20073.71,29.41,49,62885.58288,28275.41684,29671.55769,39009.1899,77719.29825
2102.01865,20283.18,29.435,49.4,70690.29209,27442.76346,32787.64913,40244.40343,78502.50627
2102.2772,20515.0465,29.485,49.7,70793.12526,25543.70813,32183.14223,39119.47945,79285.71429
2102.2937,20762.41,29.54,50.1,72007.32499,24970.31574,32233.80709,39272.42103,79285.71429
2102.37515,21005.1575,29.57,50.5,71579.30649,23781.71377,31581.88352,38153.62059,79285.71429
2102.31765,21249.0605,29.645,50.75,72563.55225,23312.12758,31683.13316,38063.96146,79285.71429
2102.2688,21482.251,29.735,51.05,69734.6932,21987.29509,30279.96097,36421.3699,79285.71429
2101.80385,21708.1475,29.795,51.35,67112.60258,23131.87753,28573.99158,36319.56945,79285.71429
2101.1819,21933.21,29.845,51.5,67746.63071,22835.19672,28698.96747,36544.25106,77719.29825
2100.80005,22108.218,29.895,51.45,70083.26193,22790.13427,29459.01297,37072.15029,77719.29825
2100.5204,22174.8945,29.99,51.2,70803.43696,21979.21517,29641.74175,36585.3596,77719.29825
2100.39505,22124.289,30.035,50.75,70016.91794,21420.45052,29151.3601,36137.14653,79285.71429
2100.15565,21945.867,30.065,50.25,74461.68731,22310.07112,30616.35779,37947.70448,79285.71429
2100.0808,21718.926,30.115,49.65,74402.05508,21668.82458,30655.08685,37662.24215,80909.09091
2099.9916,21433.964,30.13,49.05,71490.00494,20775.77583,29513.0655,36407.75363,82592.59259
2099.7976,21099.49,30.125,48.45,72488.513,21830.64635,29653.10456,37294.90711,83466.10762
2099.39595,20702.4285,30.11,47.75,72725.40942,21404.86214,29756.27398,37196.69265,84339.62264
2099.03905,20285.6495,30.08,47.15,74032.2962,22026.13705,30159.85028,37940.19545,86153.84615
2098.7173,19895.1785,30.045,46.9,75896.90795,22309.76531,30600.33232,38493.04284,87096.53092
2098.45645,19640.9655,29.975,47,76738.32227,22016.41711,30857.14692,38416.89722,88039.21569
2098.2401,19518.722,29.93,47.45,79904.47431,22335.3455,31749.11536,39418.60177,86153.84615
2098.2106,19543.9425,29.855,48.1,77780.90202,21335.01281,31152.8645,37836.32245,85246.7344
2098.00915,19673.1535,29.77,48.8,75162.88455,21120.7611,29972.1797,36923.7943,86153.84615
2097.58155,19863.208,29.71,49.55,78707.53876,21791.29685,30872.97728,38115.11182,84339.62264
2097.3319,20079.114,29.63,50.3,80724.79889,21392.66971,31365.82583,38086.13444,82592.59259
2097.27855,20313.12,29.585,51,78447.24238,20121.14876,30665.53625,36204.50456,80909.09091
2097.18685,20560.795,29.495,51.65,77421.14638,20315.90074,30297.91006,36523.72399,80909.09091
2096.9265,20806.5245,29.48,52.3,76118.77739,20087.50251,29862.68049,36049.88147,80909.09091
2096.584,21044.8545,29.445,52.85,75231.68373,19845.62378,29353.38647,35638.17599,80909.09091
2096.1565,21280.8055,29.395,53.35,79119.6871,20395.96756,30493.83841,36695.33126,79285.71429
2096.0449,21515.931,29.36,53.85,80292.91586,20077.58079,30614.97088,36353.3933,77719.29825
2095.8888,21746.6495,29.33,54.3,73324.34063,19111.27579,28470.82492,34511.71303,79285.71429
2095.4819,21963.259,29.335,54.7,73798.67798,19230.92148,28595.14647,34690.84784,77719.29825
2095.06495,22178.4675,29.33,55,74132.82202,19175.68655,28536.40287,34629.40485,77719.29825
2094.7732,22383.1475,29.345,55.3,73765.40755,18921.07257,28340.33309,34346.43495,76206.89655
2094.48155,22583.0705,29.33,55.6,75925.88313,19128.69094,28815.24542,34804.72687,76206.89655
2094.3027,22772.116,29.335,55.85,76371.50078,18899.96402,28925.05223,34635.7174,74745.76271
2094.20445,22952.6855,29.35,56.05,74447.09584,18348.57268,28307.84746,33879.16883,74745.76271
2093.9496,23132.8555,29.39,56.3,72488.24249,18008.6349,27667.28013,33276.18004,74745.76271
2093.63235,23303.877,29.425,56.45,72784.9127,18113.13466,27618.05348,33341.37234,74745.76271
2093.3854,23469.107,29.445,56.6,72338.01822,17949.27434,27353.8605,33137.56224,74745.76271
2093.0806,23630.662,29.48,56.75,72887.90243,18011.11521,27457.75145,33217.08396,73333.33333
2092.85925,23795.322,29.52,56.85,72709.97417,17781.27051,27282.35672,32906.57861,72650.27322
2092.6979,23942.573,29.565,56.95,73643.65559,17819.06818,27398.00109,33152.26574,71967.21311
2092.46715,24089.2745,29.65,57,71605.5715,17447.53183,26770.16212,32389.36183,71967.21311
2092.19155,24227.145,29.7,57.05,67650.21953,17063.06179,25471.00633,31610.67642,73333.33333
