Methane (ppb),Moisture,Temperature,Humidity,R2611E,R2600,R2602,R2611C,RMQ4
2466.457,12376.248,19.496267,59.357666,81924.48,16153.767,23185.256,31724.637,59638.44
2463.0027,12447.221,19.455662,59.464973,81406.586,16181.922,23193.809,31597.223,60038.387
2466.4197,12304.144,19.537989,59.16854,81676.26,16162.787,23176.916,31810.254,59511.18
2451.9636,12465.984,19.429665,59.427097,82251.92,16282.608,23013.795,31907.512,59993.785
2458.6877,12405.603,19.49685,59.34064,81914.32,16186.976,23132.115,31727.248,59783.56
2462.4583,12334.475,19.425558,59.388752,82386.05,16147.244,23340.291,31989.436,60041.934
2463.3406,12384.576,19.466665,59.32759,82022.46,16221.318,23049.996,31836.828,59687.035
2497.1047,12350.804,19.436195,59.397823,82263.29,16308.954,23069.383,32072.938,60147.77
2478.6414,12345.359,19.538937,59.430733,81937.85,16223.913,23388.676,31904.514,60239.42
2452.6528,12335.891,19.562952,59.34932,81976.23,16178.3545,23144.234,31742.533,59772.707
2443.7085,12379.577,19.482405,59.308647,82023.42,16175.596,23145.125,31750.674,59847.36
2485.6167,12365.506,19.478533,59.293488,82284.18,16424.469,23222.877,31813.967,59963.727
2476.2014,12392.486,19.49363,59.306145,81779.96,16233.28,23154.535,31768.266,59736.01
2449.643,12492.478,19.620275,59.45874,81885.305,16112.466,23170.379,31617.248,59779.22
2495.767,12407.316,19.463161,59.381527,82027.945,16378.872,23215.154,32116.793,60040.207
2450.0483,12473.825,19.407253,59.421375,82169.92,16252.272,23131.094,31840.14,60051.562
2482.2458,12437.949,19.47912,59.28059,82062.92,16280.099,23181.615,31782.71,59835.426
2457.0947,12362.93,19.584627,59.33163,81713.555,16213.912,23174.902,31634.803,59895.855
2454.4631,12660.179,19.535156,59.62735,81273.805,16038.215,23001.86,31309.293,59718.266
2447.5615,12552.827,19.549881,59.47024,81563.46,16111.906,23133.775,31613.24,59918.4
2476.9363,12587.832,19.464863,59.43672,81856.49,16222.575,23026.723,31646.541,59809.793
2466.2588,12425.121,19.53293,59.313618,81816.82,16196.844,23130.617,31691.22,59772.273
2467.0679,12439.543,19.51414,59.322372,81825.38,16223.597,23078.271,31961.729,59876.53
2463.0657,12436.035,19.472057,59.42645,81787.08,16163.694,23132.531,31703.805,59784.188
2446.5698,12466.277,19.583988,59.32829,82094.36,16153.884,23077.375,31729.3,59670.516
2464.8145,12361.482,19.48352,59.284985,82125.47,16201.555,23153.99,31778.154,59627.97
2471.6292,12372.373,19.569347,59.34007,81968.56,16202.384,23094.998,31730.06,59680.02
2460.141,12314.441,19.491924,59.340782,82172.9,16233.04,23085.875,31803.945,59880.215
2479.5605,12423.885,19.416773,59.273968,81675.32,16179.66,23100.525,31660.582,59696.598
2456.9902,12347.125,19.468153,59.319794,82440.04,16310.265,23274.184,31752.135,59998.363
2459.9495,12309.94,19.503962,59.367794,81658.94,16182.214,23278.762,31715.969,59609.562
2463.1208,12283.226,19.379332,59.321716,81851.14,16095.424,23178.508,31799.195,59854.63
2436.0046,12347.95,19.447813,59.370525,81731.01,16185.118,23273.068,31698.486,60049.668
2470.6729,12375.1045,19.532867,59.24877,82001.125,16143.2295,23211.303,31769.79,59834.184
