Methane (ppb),Moisture,Temperature,Humidity,R2611E,R2600,R2602,R2611C,RMQ4
2468.8347,12434.7295,19.508003,59.347958,81546.83,16131.824,23184.541,31749.848,59603.96
2468.9092,12435.171,19.507816,59.34811,81546.18,16132.022,23184.52,31750.16,59603.363
2468.9092,12435.171,19.507816,59.34811,81546.18,16132.022,23184.52,31750.16,59603.363
2468.595,12427.946,19.513157,59.343716,81553.836,16134.989,23181.012,31752.639,59606.84
2467.0413,12424.686,19.512007,59.344696,81561.766,16126.603,23185.453,31741.88,59618.215
2465.5908,12416.194,19.515556,59.341797,81574.195,16122.641,23185.945,31735.697,59629.81
2465.2795,12417.853,19.513363,59.34361,81573.65,16119.32,23188.387,31731.904,59631.67
2468.4058,12432.183,19.509083,59.347076,81550.53,16130.677,23184.662,31748.043,59607.395
2467.292,12424.282,19.512981,59.343887,81561.34,16128.615,23184.113,31744.273,59616.547
2460.9695,12400.382,19.517324,59.33987,81603.57,16103.546,23194.637,31709.568,59662.527
2466.696,12426.535,19.509565,59.34671,81561.16,16122.912,23188.168,31737.666,59620.28
2473.1033,12446.875,19.494448,59.35642,81528.086,16143.973,23180.72,31762.787,59555.594
2469.2717,12434.399,19.509386,59.346813,81545.74,16135.068,23182.455,31753.756,59600.984
2466.7083,12423.74,19.512957,59.34669,81544.45,16128.845,23187.744,31740.256,59614.523
2468.8474,12427.719,19.513987,59.34303,81553.25,16136.888,23179.783,31754.922,59605.13
2465.888,12417.634,19.51619,59.344376,81550.37,16127.993,23187.328,31737.742,59620.574
2468.8887,12435.019,19.507895,59.34805,81546.39,16131.99,23184.504,31750.096,59603.535
2467.7383,12429.449,19.50972,59.346565,81555.164,16128.0205,23185.676,31744.367,59612.52
2468.4854,12426.4375,19.51416,59.34289,81555.58,16135.305,23180.469,31752.785,59607.87
2466.1584,12425.315,19.509245,59.346985,81563.984,16120.075,23189.645,31734.008,59624.234
2466.2913,12422.569,19.515808,59.34717,81495.31,16136.384,23188.47,31750.02,59601.375
2468.76,12435.811,19.506897,59.348873,81546.06,16130.541,23185.586,31748.451,59604.285
2469.0337,12434.66,19.508564,59.347492,81546.26,16133.243,23183.646,31751.568,59602.59
2469.2378,12437.208,19.506916,59.348846,81543.266,16132.841,23184.484,31751.482,59600.715
2465.5945,12423.723,19.509174,59.347054,81567.24,16117.32,23190.982,31730.393,59628.438
2468.6257,12434.067,19.508038,59.347935,81548.09,16130.8545,23184.988,31748.559,59605.53
2465.4167,12415.854,19.515408,59.341923,81575.055,16121.685,23186.459,31734.475,59631.08
2468.1648,12425.304,19.514315,59.34277,81557.64,16133.902,23181.074,31750.893,59610.3
2467.3635,12426.495,19.511284,59.345284,81559.08,16127.538,23185.293,31743.309,59615.652
2468.9092,12435.171,19.507816,59.34811,81546.18,16132.022,23184.52,31750.16,59603.363
2464.9294,12413.854,19.515875,59.34155,81578.445,16119.747,23187.197,31731.793,59634.82
2467.209,12421.96,19.514854,59.342655,81561.6,16130.124,23183.078,31745.28,59616.848
2463.9119,12413.442,19.51629,59.343285,81541.71,16120.809,23190.516,31734.393,59629.203
2460.1096,12405.132,19.522224,59.33879,81616.08,16106.261,23204.518,31727.717,59614.438
2458.925,12408.267,19.50702,59.344955,81623.91,16096.761,23204.244,31708.648,59655.055
2469.2761,12435.481,19.508478,59.34756,81544.734,16134.33,23183.162,31753.027,59600.758
2468.9246,12427.991,19.513948,59.34306,81552.75,16137.226,23179.637,31755.377,59604.543
2469.4783,12433.175,19.510944,59.345524,81546.22,16137.358,23180.752,31756.36,59599.77
2469.486,12440.097,19.505089,59.350346,81539.81,16132.499,23185.363,31751.521,59598.477
2469.1318,12436.5205,19.507233,59.348587,81544.234,16132.599,23184.475,31751.076,59601.574
2467.6565,12423.504,19.51456,59.34258,81560.91,16131.678,23182.037,31747.89,59614.152
2469.2488,12436.959,19.507154,59.34865,81543.46,16133.093,23184.27,31751.75,59600.688
2469.4607,12435.102,19.509266,59.346905,81544.5,16135.871,23182.12,31754.848,59599.547
2466.222,12420.283,19.514439,59.34485,81553.56,16127.068,23187.158,31738.498,59619.93
2468.9092,12435.171,19.507816,59.34811,81546.18,16132.022,23184.52,31750.16,59603.363
2468.568,12426.7295,19.51412,59.342922,81555.05,16135.666,23180.31,31753.271,59607.246
2468.1528,12430.926,19.509512,59.34673,81552.49,16129.828,23184.898,31746.809,59609.375
2468.2966,12426.802,19.513376,59.343544,81555.836,16133.746,23181.518,31750.94,59609.117
2469.6501,12437.221,19.507944,59.347992,81541.945,16135.671,23182.732,31754.94,59597.85
2462.9563,12405.0625,19.517698,59.33959,81593.914,16106.492,23190.732,31719.947,59649.56
2468.2354,12424.88,19.51402,59.342,81557.21,16133.405,23180.744,31749.646,59612.94
2468.6665,12434.583,19.507704,59.34821,81547.49,16130.769,23185.16,31748.535,59605.156
2467.4365,12423.304,19.514177,59.3429,81561.79,16130.307,23182.84,31746.186,59615.715
2465.6504,12421.022,19.511608,59.34505,81569.555,16119.624,23188.932,31732.777,59628.53
2468.9092,12435.171,19.507816,59.34811,81546.18,16132.022,23184.52,31750.16,59603.363
2466.5803,12419.427,19.513208,59.340645,81560.84,16130.024,23183.865,31739.033,59617.85
2466.737,12426.135,19.51001,59.346348,81561.4,16123.478,23187.725,31738.293,59620.066
2469.0806,12435.685,19.507812,59.34811,81545.164,16132.839,23184.133,31751.238,59602.082
2469.1116,12436.874,19.506882,59.348877,81543.97,16132.208,23184.799,31750.656,59601.652
2468.724,12428.171,19.51329,59.343605,81553.22,16135.718,23180.611,31753.564,59605.902
2468.511,12432.433,19.509136,59.34703,81549.97,16131.226,23184.38,31748.752,59606.62
2469.2107,12433.728,19.509802,59.34647,81546.555,16135.125,23182.264,31753.72,59601.527
2468.9165,12435.141,19.50786,59.348076,81546.19,16132.095,23184.467,31750.244,59603.32
2466.1458,12419.01,19.515911,59.34447,81544.4,16129.456,23186.81,31740.703,59617.332
2468.5122,12430.722,19.510592,59.345833,81551.54,16132.447,23183.229,31749.975,59606.918
2468.9092,12435.171,19.507816,59.34811,81546.18,16132.022,23184.52,31750.16,59603.363
2467.7769,12423.931,19.514502,59.342625,81560.13,16132.205,23181.809,31748.602,59613.24
2468.5999,12433.61,19.508362,59.347668,81548.6,16131.001,23184.791,31748.664,59605.793
2468.4844,12434.085,19.507668,59.348244,81548.53,16129.868,23185.604,31747.355,59606.508
2468.6653,12433.914,19.508268,59.347744,81548.12,16131.235,23184.717,31749.0,59605.28
2467.813,12424.058,19.514484,59.342636,81559.9,16132.363,23181.74,31748.814,59612.97
2468.002,12432.128,19.508112,59.347885,81551.86,16127.936,23186.348,31744.688,59610.207
2468.8225,12434.656,19.508034,59.347935,81546.93,16131.791,23184.545,31749.797,59604.06
2469.51,12438.895,19.50617,59.349457,81540.84,16133.519,23184.453,31752.576,59598.523
2466.7947,12424.842,19.511251,59.34532,81562.41,16124.793,23186.611,31739.695,59619.9
2467.7175,12423.72,19.51453,59.3426,81560.516,16131.945,23181.922,31748.252,59613.69
2467.8154,12429.867,19.50859,59.346313,81553.84,16126.758,23185.926,31742.225,59615.473
2467.4124,12424.278,19.513288,59.34363,81560.97,16129.446,23183.598,31745.29,59615.71
2466.3691,12425.253,19.50983,59.3465,81563.375,16121.57,23188.703,31735.824,59622.78
2466.5117,12419.453,19.515112,59.342144,81568.27,16126.669,23184.203,31741.133,59622.83
2461.8809,12404.593,19.520237,59.349663,81515.1,16121.682,23200.268,31715.11,59631.508
2469.0835,12428.555,19.513872,59.343117,81551.73,16137.922,23179.336,31756.316,59603.336
2467.1562,12424.756,19.512236,59.3445,81561.336,16127.344,23185.012,31742.797,59617.402
