Methane (ppb),Moisture,Temperature,Humidity,R2611E,R2600,R2602,R2611C,RMQ4
2672.588,8266.789,10.830609,61.405365,94172.31,22119.408,22982.06,39677.42,70074.414
2900.7078,17856.32,22.609,58.85805,73343.71,14853.327,18952.938,26303.775,52719.043
2538.895,11055.149,14.05496,60.48251,88774.02,18993.305,23901.303,34603.4,67865.05
2528.1145,11494.996,16.48305,58.806183,87455.875,18377.781,25426.004,35119.11,65502.723
3555.566,12647.783,16.601007,64.38915,71619.445,17681.818,21435.234,28798.787,56334.363
3061.0366,13639.639,15.319127,61.094112,80631.39,17910.139,22744.592,29964.572,58792.324
3350.106,14332.89,18.571587,59.897045,73020.18,16517.447,22993.004,29092.057,54467.01
2095.136,13626.198,19.248358,55.100754,85439.22,16564.783,24677.951,32165.264,58132.02
3056.2153,17752.744,22.692707,59.988552,67674.71,15580.473,18663.527,27279.031,52075.395
2859.4841,12761.686,16.741228,61.073013,80001.836,18581.691,22858.846,33185.93,59875.273
2424.0696,18622.879,24.972479,57.483017,72812.71,14153.64,19014.363,25848.336,51495.39
2832.2915,15839.35,21.346031,60.014458,70176.76,16476.766,19815.307,28124.93,55504.426
3391.2488,12514.572,16.072903,63.642155,73285.44,17532.738,22272.49,29881.533,56728.742
2511.5544,13018.232,15.358515,56.415295,85926.93,17338.666,26006.648,31025.031,61250.57
3109.2712,10635.294,14.889281,61.98463,79663.164,19341.262,22408.781,33779.63,61468.844
2171.0361,12584.492,23.04875,49.381226,93384.72,13855.038,32317.934,30455.56,55528.43
2013.1396,7583.623,10.2227745,60.89665,100426.805,23558.697,23437.025,43161.137,77363.16
3213.7156,18765.414,22.511076,62.39496,64883.797,14535.683,16494.5,24859.686,45809.03
2134.5996,10248.971,14.930761,59.192,92152.04,20629.314,24250.871,37929.375,70318.42
2840.7786,13643.071,20.670063,54.47961,84971.055,15698.345,27916.707,31102.527,60992.04
2499.454,14828.91,20.029394,59.348175,77696.22,17233.787,20934.885,31657.742,59868.18
3080.251,12791.315,17.923534,58.93046,78851.94,16070.29,25361.018,30811.463,58266.37
1759.5717,9491.899,12.843397,58.404778,98818.16,21397.92,24995.924,40244.348,75164.76
2819.0022,10925.933,18.894693,56.201496,90258.98,15828.759,29154.594,32193.348,61050.6
3213.3467,19583.541,25.945225,60.953312,64533.836,12350.785,18624.639,21948.615,41229.473
2827.734,13869.664,18.951206,58.098213,82138.46,16474.781,24406.848,29242.854,56211.902
2762.5688,9025.939,10.567574,64.60992,88942.13,21536.426,22806.754,38185.82,67482.31
2970.5535,12603.604,16.07001,62.078297,79290.27,18118.617,23341.87,30728.01,58856.918
2454.886,15932.859,21.046537,56.654457,78895.86,15421.946,22365.076,28904.256,54580.19
2384.974,11298.224,17.000607,55.872948,88021.67,17643.234,25531.67,33682.016,62280.367
2967.1594,15924.02,22.351198,59.377846,76122.97,15032.939,23066.93,27188.525,54957.53
2450.8838,12445.546,18.884354,55.03344,89184.25,16976.32,27220.525,33047.594,64055.46
3065.3716,13372.907,18.459131,60.660698,76006.32,16078.225,24409.902,30739.732,59181.39
2306.1335,9744.205,12.353236,59.274857,94165.85,21746.219,23341.871,39183.44,71909.93
2425.7046,7934.265,11.495146,58.7331,96885.69,22870.695,22825.07,41004.254,73948.62
3029.63,16042.749,20.371204,63.314026,65849.7,16175.929,18545.027,26771.143,52635.617
3580.3428,12477.095,15.339653,64.405266,70783.76,18935.531,20789.125,28815.701,55330.227
2898.4736,16915.07,23.570866,58.748196,73098.79,13594.232,23249.75,26019.072,50039.73
2747.9912,9529.587,12.364334,63.368492,86733.62,19470.805,23608.742,35672.11,64882.03
3119.6226,16650.879,20.670916,62.86227,69083.28,15727.559,18131.977,28208.85,54926.37
2902.896,14516.501,21.673292,59.66557,74350.74,15484.17,21237.0,31018.258,56451.75
3223.1191,9087.576,11.572015,63.979797,82526.3,20955.518,22323.795,35366.043,63791.49
3048.0164,18200.125,22.844994,60.967033,63173.414,15878.977,16377.234,25751.559,51177.133
2390.0337,11041.346,15.299732,62.72227,83425.56,19634.742,23355.988,33587.37,61450.22
2918.8994,12647.268,17.67094,59.508144,79191.86,18558.43,20697.576,32673.17,60732.113
2312.906,9847.302,13.194363,60.26645,91963.14,21271.85,23419.098,39282.29,70784.6
2001.8253,6682.753,8.35929,59.84119,105596.74,25001.762,23340.852,44665.516,80326.16
2806.948,13707.074,18.944927,57.79567,82835.195,15752.486,24823.76,30245.572,57469.66
2605.6821,18059.781,24.74939,55.10676,74084.62,13860.064,22444.383,26715.596,53380.812
3814.9172,12709.178,15.587226,64.66013,69419.83,18287.213,20367.232,27497.13,54088.707
2653.4956,18447.54,23.468155,58.979965,71771.37,14579.5,18759.83,27684.088,54436.418
3311.898,15736.354,20.854399,62.240715,65114.81,15193.474,18664.398,27532.328,52008.418
1980.473,9748.958,15.85356,55.438293,93923.19,20195.45,25936.412,37888.098,67472.85
2458.1853,10498.839,15.426179,57.674263,90467.49,20213.707,24727.271,37239.246,67502.8
2462.0032,10545.74,15.094977,60.308636,88951.81,20484.344,23601.451,37954.008,68413.21
3026.453,18773.604,22.368744,59.757374,69317.695,14836.414,19454.998,23546.426,48196.984
2593.415,10819.733,15.025466,58.844448,88549.07,19195.84,25111.588,36081.855,66636.336
2426.0522,9676.123,14.218652,57.819897,92816.97,20964.902,23739.512,38266.86,70479.62
3271.699,15188.761,19.863028,61.248417,73176.4,15839.225,22352.92,28123.518,53993.74
2461.002,11768.755,16.592897,59.174385,86443.25,19464.008,23823.686,35204.668,65868.31
2383.2751,11557.961,15.098431,60.1757,84534.984,19976.807,21911.715,37403.668,65998.62
1779.541,8274.431,11.720623,59.60248,103894.76,23338.852,25780.621,43438.965,77221.81
2883.9497,11048.649,13.80945,60.66208,78085.15,20081.453,22604.904,32455.564,61700.492
2526.6548,14582.157,16.334795,58.736443,82125.46,17378.914,23289.008,32324.584,56796.19
2903.432,14227.185,20.392498,59.71468,77090.35,15863.72,23522.154,30056.562,56646.4
2041.4078,13972.944,20.22859,52.608997,89737.266,16491.236,28596.992,32938.0,61988.668
2914.3582,12075.533,15.453786,60.512955,76388.11,20219.568,20080.184,32554.242,64084.367
3266.7324,19508.05,23.39883,62.61731,61127.203,14610.53,16663.082,24012.002,46096.844
2865.1763,13016.576,16.41896,62.193447,78814.15,17552.873,22529.033,30327.775,58456.27
2762.4678,15632.299,20.339298,59.22293,71779.7,16695.955,19559.453,28890.918,57372.99
2058.6248,12479.977,16.77108,59.1934,87679.22,19336.885,23182.502,36400.438,66441.64
3387.502,16598.926,16.893879,62.071644,72126.23,16918.309,20585.156,28352.559,50072.695
2320.6057,10520.925,14.310185,58.85695,87737.61,20956.842,22416.766,38010.438,67424.086
2883.631,12327.56,17.903076,59.849373,79189.2,17993.629,24232.129,32860.855,61077.914
2653.5386,12312.813,16.964891,58.568443,84334.86,18594.24,24003.6,33873.33,64089.418
2740.2659,10406.511,13.270814,61.171898,87421.875,20262.344,22540.77,36441.863,66854.195
3130.3003,19307.738,24.115108,58.491493,63734.84,14680.6,17729.44,23643.91,47020.242
2812.7156,20031.459,26.192173,55.364742,70486.375,13234.445,20317.574,24445.115,48252.36
2639.867,12253.47,18.625793,53.61151,89787.836,16725.846,27166.857,33570.934,63998.05
2695.8337,15460.881,22.145502,57.972004,77502.3,15431.98,22159.166,28017.562,55202.96
2674.2085,10666.6455,15.194697,58.208427,91488.05,19395.172,24693.033,36142.754,68433.414
2270.774,6834.937,8.500776,59.637333,100050.125,24875.38,22463.25,43845.645,78275.74
2557.305,12268.7705,17.548626,58.686043,84207.54,18696.084,24123.775,34308.79,62983.586
3458.2944,14665.754,18.697393,62.23404,71490.68,16064.882,22381.725,27405.102,53443.973
2627.3027,12093.671,18.705248,54.45827,87061.63,16712.03,27192.473,32679.469,61177.797
3163.943,16093.242,22.159073,61.094673,70570.18,14518.045,21287.186,26253.219,48682.703
2979.6223,11131.503,15.085138,61.199345,84018.79,19209.639,23500.787,34558.355,64582.27
2718.2507,20030.707,27.461422,57.48456,68030.625,13471.825,17611.299,23743.852,48274.395
3264.2383,12174.083,16.860367,60.88934,79353.22,17137.895,24166.246,31563.084,58673.25
2743.7993,11275.651,14.487778,61.611004,87301.67,19936.568,22508.51,35515.22,64620.125
2983.6238,14543.701,19.764606,54.08531,83483.63,15497.08,26454.766,28056.676,57136.812
2200.1057,9554.827,12.019874,60.93588,94393.13,21876.514,23307.146,40206.66,73422.5
2487.104,12705.181,20.075047,52.859764,91430.375,15752.495,29213.326,32376.336,63458.89
2696.952,14211.73,20.938484,59.897587,72765.29,17090.996,21473.95,30029.236,57946.258
2601.6082,12492.23,16.1709,60.407448,83819.72,18412.016,24063.178,33113.184,60994.066
3503.693,18910.041,22.154196,66.874954,58137.824,14094.117,15776.865,24656.08,47091.85
2506.6284,13099.851,17.050146,57.96816,84228.99,18088.336,24003.336,33290.18,62233.67
2452.1575,10401.575,15.008672,57.154823,96442.73,19950.97,26393.863,37007.05,65514.906
2822.148,10740.486,14.912122,60.907917,86349.26,19725.016,23863.191,35736.086,64669.79
3266.047,14546.824,16.837488,62.9684,71536.88,18017.713,20453.426,30231.285,54400.42
2665.216,12042.005,16.896324,60.165268,82126.26,18761.006,21611.8,34135.844,63457.586
3283.8745,17436.684,22.264423,62.22294,67268.95,14436.611,19225.203,25892.238,50261.37
2641.7021,11572.635,16.092607,57.909058,90162.41,18013.863,25421.06,34073.055,61952.555
3314.207,11510.4795,15.720538,62.011124,77363.25,18925.305,22169.059,32012.69,58562.004
2847.9531,17203.344,21.483284,60.28758,70129.33,15379.282,19382.664,26790.654,50960.344
2810.5332,12340.643,18.224318,59.861984,81438.89,17715.11,22876.732,32366.488,60508.105
3415.2805,12787.958,16.95005,62.507504,75656.68,17573.633,21201.908,29911.057,55806.57
3123.0305,16859.688,20.478594,61.748707,67781.34,16489.785,18036.555,28733.05,52842.695
2466.0095,18035.684,18.878733,59.26691,73190.26,15726.572,20162.963,27249.758,52244.047
2475.7358,7494.803,9.577352,59.66445,96119.62,23678.684,22882.74,41223.46,71127.28
2816.8118,15272.065,21.018456,59.038338,72932.984,16966.506,18643.635,31015.535,56341.543
2692.4001,17326.703,22.099258,58.750576,72023.89,15756.012,18867.574,27793.963,54040.6
3213.3096,16071.552,20.541199,59.890778,69474.11,16204.879,20073.883,28132.553,53458.09
2750.5623,9474.942,11.711226,62.728703,87136.61,21136.863,24230.498,37474.31,68589.625
2269.7107,9752.196,13.599626,59.634224,93642.42,21378.277,23259.475,38499.64,71352.11
