Methane (ppb),Moisture,Temperature,Humidity,R2611E,R2600,R2602,R2611C,RMQ4
2834.5164,16229.858,20.61415,65.4675,76286.09,15517.733,22835.758,29133.889,56938.97
3702.6104,14518.57,19.706158,63.476322,73515.11,15227.47,21720.307,27751.674,53045.89
3672.1526,14486.752,19.005737,65.42896,70380.766,15731.692,19780.387,28862.137,55451.12
3500.0825,15399.984,20.087503,62.106815,73299.266,14378.632,24306.736,28572.354,55392.875
3219.3098,12646.165,17.87795,66.60224,70447.555,17107.441,18856.85,29761.836,56152.023
3841.8503,12587.813,17.51689,61.71376,72528.484,16522.234,21822.148,29317.48,57254.23
3576.3232,12739.863,17.660263,63.160366,76052.91,15953.48,20798.715,30144.018,56248.96
3295.1228,14304.074,19.54227,64.021576,72214.445,15601.841,20731.516,28290.14,54844.09
3176.86,15878.96,22.611025,62.556637,79206.44,13455.922,21935.23,26824.33,53785.867
3436.366,13796.974,19.04345,65.33944,75767.234,15446.007,22015.719,29288.135,56919.89
3185.3594,10962.13,14.446304,65.902565,81746.086,18023.621,24227.41,32178.57,61229.63
3423.2954,15149.508,20.297356,64.38338,79591.39,14070.169,25564.66,28296.113,51566.25
2834.005,12790.303,15.6648,62.04001,78665.7,20625.918,21616.645,34670.62,62138.34
3932.3516,14233.049,19.636478,62.702904,75809.2,14364.086,24011.678,27678.807,50900.492
3086.6194,16457.842,21.823542,65.93138,75902.31,14326.655,21968.182,27904.52,53850.35
2771.1692,16308.417,18.637657,66.01755,79853.17,17416.996,22069.678,30844.775,60920.598
3336.4482,14534.815,21.034348,61.91959,74721.664,15462.565,21114.31,27754.621,51745.98
3427.552,13226.538,20.35726,59.826393,79112.92,14796.858,21175.676,27012.428,50604.375
3944.1536,14388.419,19.398088,67.37578,68532.055,15262.277,20971.791,27356.762,54978.93
3466.285,11886.213,15.407277,66.3098,81640.625,17547.09,23764.465,31918.426,57628.953
3335.1477,15238.73,18.497942,67.33477,72613.96,16439.953,21433.367,30131.146,57138.3
3332.0625,14878.727,18.716375,65.23307,70863.055,17136.285,20282.463,29315.71,57152.64
3367.126,17399.8,22.329916,65.933655,74137.836,13517.607,24140.893,25717.277,48960.766
2904.1592,14534.633,17.431837,66.17377,71679.01,18737.877,20806.639,31804.527,56564.78
2996.486,14219.379,18.312788,63.960884,73848.75,17382.07,22022.797,30955.746,59874.5
3178.8472,12653.545,19.407837,62.224243,72621.1,15776.228,19846.916,28214.732,56494.63
3101.6526,15099.085,19.0269,64.33919,72329.06,15780.465,20111.367,29061.072,55921.375
3331.8027,13257.983,19.117607,65.20707,72608.98,16423.98,20880.58,29300.79,55126.01
3279.2043,15714.036,20.637175,65.692665,70787.94,14629.792,19314.975,26771.074,50391.76
4239.093,13300.336,18.900347,62.851162,73235.71,14717.916,20989.965,27635.623,52446.6
3587.9275,12256.18,16.927584,62.330856,80487.61,16143.114,22412.291,30607.637,55436.566
4493.8696,11215.973,15.891908,62.64773,79776.75,16085.356,21663.246,30905.496,54676.44
3623.713,13895.459,19.114948,63.183327,75519.48,15274.46,23829.123,28635.953,52573.8
4097.2163,11931.58,16.414019,63.703224,75935.35,16225.413,21080.0,30239.41,55450.465
3619.4,13236.614,18.436188,64.44839,73547.12,15966.079,22314.943,28699.549,55959.24
3154.1594,12230.061,16.88407,66.775894,76636.18,17348.2,21616.074,30249.578,57043.78
3622.1467,14700.051,20.506763,62.03137,74083.32,14541.705,21745.18,27666.402,54707.14
3609.04,14011.109,19.01625,64.28813,73482.36,16112.448,23457.318,29507.773,57581.45
3069.9573,14255.294,20.31804,61.416656,77577.76,14975.713,21187.672,28619.822,57885.332
3174.406,15122.373,19.613058,65.30296,70939.21,15675.672,21287.754,28672.777,56230.145
2942.0105,15848.473,21.093609,67.326416,76200.71,14860.916,22602.28,28965.02,56859.95
3385.2727,13368.712,18.667961,65.61245,69771.77,15330.208,19561.115,28061.287,53236.324
3187.548,16190.318,19.898804,68.7054,69826.57,15331.674,19749.107,28071.527,54697.414
3412.4348,15133.126,19.315031,67.38699,72345.57,15891.535,22480.96,29633.95,57428.22
