Methane (ppb),Moisture,Temperature,Humidity,R2611E,R2600,R2602,R2611C,RMQ4
3154.7524,15470.27,20.585848,59.326675,75748.28,16622.062,21136.293,29753.986,56509.81
3046.403,14013.184,18.843023,59.35474,79655.87,17700.799,21996.838,31829.457,59510.15
3382.178,18912.912,24.467934,59.363804,65888.96,14667.309,18140.021,25284.299,49435.55
2776.5957,11184.079,15.234701,59.554226,88156.56,19957.252,23292.84,36127.51,66257.71
2461.5942,8630.646,11.649886,59.81695,95456.28,22339.86,23707.848,40542.19,72814.984
3166.9746,15646.442,20.830345,59.27626,75124.79,16486.527,21012.396,29453.48,56035.07
3138.6494,15197.486,20.2655,59.318043,76568.66,16805.303,21329.264,30118.572,57113.062
3063.4827,14449.994,19.426973,59.32215,78472.445,17323.852,21843.94,31185.906,58635.164
3370.7412,18782.61,24.245296,59.38003,66357.15,14764.124,18301.05,25484.389,49773.62
3056.208,14109.604,18.93522,59.376625,79359.336,17645.691,21913.121,31692.936,59309.367
2896.8801,12400.097,16.765345,59.433643,84389.664,18896.03,22900.53,34146.76,63401.043
3347.8184,18385.613,23.902674,59.316597,67401.48,14953.616,18637.406,25937.664,50480.66
2796.0427,11359.688,15.325032,59.536293,87608.65,19791.668,23310.932,35804.137,66014.37
2828.954,11676.802,15.9701605,59.526752,86676.62,19486.285,23133.984,35336.34,65107.434
3063.7905,14191.245,19.015997,59.397217,79114.22,17597.283,21844.754,31579.771,59148.16
2721.4624,10708.9375,14.572064,59.61061,89528.59,20376.15,23426.39,36902.945,67416.61
2775.886,11161.601,15.194006,59.557125,88198.555,19969.678,23316.084,36147.715,66299.4
3129.4355,15083.005,20.168013,59.292942,76843.13,16861.797,21416.822,30254.26,57319.586
3118.7744,14950.712,19.968647,59.324066,77238.83,16990.486,21503.588,30473.568,57602.45
2521.7705,9120.065,12.30379,59.79418,94008.76,21834.076,23734.232,39618.473,71507.96
3168.1074,15573.137,20.736776,59.20978,75325.3,16559.201,21043.285,29501.828,56193.594
2397.3416,8200.001,11.12758,59.837963,96898.74,22769.242,23649.94,41408.926,74072.31
2896.1985,12378.028,16.737652,59.44475,84587.58,18915.889,22919.361,34175.17,63490.383
3135.3623,15084.68,20.074987,59.39082,76895.59,16936.846,21366.807,30305.443,57324.336
3007.933,13770.199,18.624254,59.295807,80410.02,17791.51,22231.264,32108.414,60222.97
3208.0474,16285.83,21.526531,59.242306,73371.77,16121.082,20520.547,28637.986,54812.062
3040.0215,13986.77,18.854542,59.32572,79801.74,17695.219,22064.094,31871.879,59570.72
3236.052,16606.027,21.887268,59.165825,72526.125,15959.42,20239.617,28164.182,54156.69
3367.2246,18715.072,24.160933,59.394516,66583.77,14789.929,18359.844,25592.54,49980.254
2756.2307,10993.286,14.875372,59.56993,88709.83,20132.922,23384.922,36421.156,66809.6
2638.4268,10042.437,13.683363,59.700573,91464.56,20960.055,23577.162,38018.57,69067.2
3124.0696,15024.795,20.104235,59.2936,76987.2,16905.752,21459.578,30338.316,57424.74
3207.5884,16309.428,21.564415,59.260593,73271.8,16091.372,20511.11,28612.844,54740.785
2966.9995,13307.21,17.859337,59.429615,82018.72,18189.389,22386.732,32862.78,61533.457
3295.9138,17622.322,22.992779,59.287056,69697.79,15396.693,19385.805,26947.729,52111.84
2933.9749,12836.369,17.351723,59.35127,83179.91,18537.002,22712.408,33452.26,62353.08
2908.3347,12524.026,17.003614,59.430347,84188.86,18789.744,22827.45,33972.797,63106.246
