Methane (ppb),Moisture,Temperature,Humidity,R2611E,R2600,R2602,R2611C,RMQ4
2585.6196,9807.934,13.187751,59.846138,91873.29,21307.38,23453.262,38553.52,70187.914
3161.1592,15544.525,20.712074,59.194126,75379.86,16601.625,21150.197,29515.209,56098.707
3085.236,14822.17,19.67313,59.31534,77924.36,17108.828,21755.385,31067.623,58383.15
2689.697,10289.673,14.004611,59.807,90436.93,20759.004,23394.805,37557.297,68452.78
3069.8057,14283.427,19.237852,59.28719,78808.93,17421.21,22009.184,31440.285,59241.42
2880.8098,12134.809,16.599447,59.442528,84788.44,19069.066,22930.027,34488.812,63931.938
2749.2258,10741.839,14.677643,59.752632,88792.4,20288.094,23304.717,36742.77,67260.4
2588.4578,9797.844,13.212413,59.809547,91716.07,21325.705,23416.889,38596.07,70345.23
3546.7822,20107.627,25.71608,59.63023,61906.766,14041.917,16660.262,23844.72,47208.91
2985.295,13047.577,17.857483,59.36461,82531.95,18273.223,22587.105,32977.586,61534.004
3334.8242,17656.87,23.352045,59.251987,69099.48,15094.014,19530.895,26599.97,51938.81
3129.0059,15282.272,20.258076,59.280506,75654.87,16822.352,21241.688,29599.758,56590.45
3306.2744,17549.38,23.015356,59.29966,69697.64,15270.985,19704.326,26941.346,52163.6
3238.7458,16359.125,21.877321,59.24774,72713.26,15927.954,20511.557,28387.662,54682.586
3012.84,13536.275,18.38965,59.33716,81300.445,17941.986,22343.46,32440.605,60682.43
2717.406,10476.324,14.266674,59.77443,89785.99,20567.34,23364.543,37187.75,67880.97
2889.9207,12304.29,16.796555,59.389366,84494.83,18955.639,22897.482,34348.203,63557.496
3103.3428,14614.751,19.643457,59.471497,77483.39,17103.139,21776.662,30813.389,58614.805
2852.4436,11852.845,16.131945,59.521305,85897.336,19354.594,23000.87,34909.99,64426.94
3147.4243,15403.418,20.63746,59.18148,75543.11,16651.535,21203.49,29632.814,56399.492
3429.2375,18984.477,24.533913,59.468174,65318.285,14500.345,18220.75,25107.785,49372.027
2754.4595,10949.709,14.93082,59.632423,88380.625,20154.418,23245.06,36474.81,66827.57
2801.4692,11736.991,15.662643,59.6607,86607.3,19552.682,23079.756,35324.21,65012.574
3181.2385,15803.052,21.008781,59.212784,74326.51,16406.1,20979.361,29176.672,55741.9
2941.3987,12819.76,17.445871,59.405693,82971.586,18513.018,22711.625,33457.03,62271.324
3324.5388,17808.9,23.23914,59.33724,69056.33,15133.906,19486.633,26637.686,51698.137
2922.552,12767.226,17.252825,59.477432,83135.47,18641.78,22673.713,33587.73,62481.88
2853.3992,11838.52,16.167324,59.501938,85908.28,19341.39,23009.637,34973.938,64506.824
2834.4133,11676.323,15.863522,59.621986,86397.39,19506.68,23066.438,35217.145,64941.746
3180.278,15687.105,20.801329,59.361004,74236.25,16530.682,20918.156,29036.219,55842.85
2626.9407,9922.389,13.409149,59.856606,91489.34,21148.412,23456.52,38238.45,69728.03
2996.4343,13386.772,18.14292,59.33626,81665.92,18072.094,22511.357,32706.61,61034.48
2842.3235,11724.028,16.042923,59.517067,86047.47,19473.44,23024.623,35158.81,64722.734
2889.5757,12096.914,16.56638,59.430096,85047.4,19124.172,22948.42,34558.836,63856.48
2756.9597,10722.349,14.64924,59.792507,89100.43,20317.14,23282.775,36754.785,67171.734
3009.5945,13696.907,18.535854,59.292233,80315.97,17821.969,22344.139,32152.043,60517.332
2913.7124,12386.322,16.967026,59.435177,84104.48,18855.244,22835.025,33975.715,63142.113
3294.2622,17378.365,22.786652,59.274803,70384.055,15404.548,19804.951,27231.756,52538.723
2915.7136,12502.744,17.042856,59.417583,84195.0,18745.31,22824.623,33754.227,62748.375
2916.6626,12279.549,16.871674,59.456432,84484.33,18926.418,22858.934,34331.86,63627.69
2992.634,13584.569,18.280762,59.39278,81331.7,17906.504,22452.334,32607.635,60979.855
2993.91,13353.48,18.049475,59.362213,81752.555,18109.541,22531.912,32783.953,61248.336
2545.3726,9316.251,12.396519,60.022156,93729.914,21892.309,23358.346,39675.9,71799.805
2820.3008,11769.419,15.917529,59.492374,86303.09,19471.287,23039.568,35123.715,64783.637
3004.0076,13347.114,18.177896,59.347958,81617.97,18048.938,22524.643,32690.41,61108.344
2889.7842,12232.463,16.68168,59.45965,84755.89,19003.928,22887.28,34267.984,63475.543
3081.0088,14574.359,19.558975,59.255318,78113.27,17218.97,21858.404,31037.184,58524.08
3305.6477,17365.504,22.84952,59.29977,70108.805,15385.959,19768.473,27184.807,52588.25
2894.48,12456.153,16.843264,59.497025,84495.89,18858.803,22854.316,33976.09,63143.844
3086.1526,14564.345,19.623844,59.27157,77907.32,17163.799,21808.676,30862.33,58457.59
3323.3955,17466.697,22.935286,59.371834,70122.27,15354.544,19689.738,27150.54,52365.297
2971.1865,13180.014,17.813663,59.369915,82194.55,18231.943,22608.285,32892.547,61465.535
3178.305,15768.877,20.933052,59.251137,74527.57,16456.121,21018.16,29250.707,55777.902
3282.7773,17179.555,22.623867,59.273026,70789.87,15550.883,19822.998,27399.541,52822.14
2823.063,11568.079,15.732928,59.48207,87099.08,19637.13,23035.912,35552.1,65368.63
3065.5789,14393.218,19.284405,59.3165,78971.02,17378.453,21949.059,31509.562,59182.5
3499.585,19689.996,25.163954,59.6763,63195.227,14271.097,17224.844,24389.088,48075.4
3238.5474,16472.256,21.885473,59.24088,72548.555,15969.15,20348.65,28283.992,54297.125
3335.741,17903.863,23.402594,59.3428,68785.86,15097.346,19279.93,26478.86,51406.465
2971.2583,13181.391,17.813166,59.347878,82201.26,18263.81,22583.688,32920.57,61448.68
3062.1794,14312.75,19.233093,59.235855,78844.6,17436.877,21970.027,31331.895,59032.844
3147.8528,15400.287,20.512096,59.20666,75715.016,16706.37,21306.008,29901.262,56701.195
2979.1682,13220.978,17.9271,59.32777,81967.02,18213.453,22541.607,32772.977,61255.508
2590.1997,9505.156,12.767303,59.98157,92909.78,21601.244,23479.723,38823.508,70288.85
2752.0483,10746.275,14.664149,59.776657,88682.96,20290.564,23307.064,36743.258,67337.945
